Format,Title,Artist,Release Year,Genre(s),Country,RIYL,Location (Shelf),Album Cover URL,Fill In?
Record,Touchstone,Chick Corea,1982,,,,B2,https://chickcorea.com/wp-content/uploads/2012/11/Touchstone.jpg,
Record,Big Day at Ojai,Buellgrass,1984,,,,B2,https://i.discogs.com/cTGUTvKL4nFozkzrj6xB1_D6Vy9nioBYi7unOqZODek/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM3NjE3/OTgtMTYwODkyMTgy/MC0zOTg1LmpwZWc.jpeg,
Record,The Fittest of the Fittest,Burning Spear,1983,,,,B2,https://i.discogs.com/bmAun2Sp_ShD5qguy1PbUENpcntR5PBjjY8-tp-5zQ0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4NjI1/NDEtMTI4OTY4MjM4/Ny5qcGVn.jpeg,
Record,Eat Your Heart Out/Clay Hips,Hey! Elastica,1983,new wave,,,B2,https://thenewvinylvillain.com/wp-content/uploads/2013/12/r-842580-1308139952.jpeg,
Record,And That's No Lie,Heaven 17,1984,,,,B2,https://us.rarevinyl.com/cdn/shop/files/heaven-17-and-that-s-no-lie-blue-border-number-3-uk-12-inch-vinyl-single-maxi-vs74012-854180_384x392.jpg?v=1736610956,
Record,Children of the Revolution,Baby Ford,1989,,,,B2,https://i.discogs.com/pGUvjBeIfLF6A_6SXqLuYbfFZCb8iJcFIG87CZm4FDQ/rs:fit/g:sm/q:90/h:588/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1NjI0/My0xNDg2MzAzODM3/LTI3NjkuanBlZw.jpeg,
Record,She Was Only A Grocer's Daughter,Blow Monkeys,1987,"new wave, pop rock",,,B2,https://i.scdn.co/image/ab67616d0000b27340d6055cfbd57499391e1c9a,
Record,Day and Night,Blaam and the angel,1986,Post punk/rock,England,,I4,https://i.discogs.com/pHZcxi68sfOuV4ZIazs2FNjdLNb4NvnZBkfdABwOS8o/rs:fit/g:sm/q:90/h:600/w:593/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcyNTg2/MC0xMTc2NjIxODQ5/LmpwZWc.jpeg,
Record,SWA,XCIII,1984,Punk,USA,,I4,"https://m.media-amazon.com/images/I/418k7maHozL._UF1000,1000_QL80_.jpg",
Record,Soul,Trigger,1988,Post-Hardcore,USA,,I4,https://f4.bcbits.com/img/a0705465616_16.jpg,
Record,UFO,Obsession,1978,Heavy Metal,UKA,,I4,https://upload.wikimedia.org/wikipedia/en/0/07/UFOObsession.jpg,
Record,Western Eyes,Western Eyes,1984,"New Wave, Punk ",USA,,I4,https://f4.bcbits.com/img/a3286199669_2.jpg,
Record,Where's the Money,Dan Hicks and His Hot Licks,1971,Folk Rock,USA,,I4,"https://m.media-amazon.com/images/I/4139fGt3JbL._UF1000,1000_QL80_.jpg",
Record,Water,The Wolfgang Press,1985,New Wave,UK,,I4,https://eu.rarevinyl.com/cdn/shop/products/the-wolfgang-press-water-ep-uk-12-inch-vinyl-single-maxi-bad502-203335_1200x1209.jpg?v=1699459325,
Record,Asylum Road,The Perfect Disaster,1988,Indie Rock,UK,"The Jesus and Mary Chain, Sonic Youth, Dinosaur Jr., Pixies, The Fall",A1,https://lastfm.freetls.fastly.net/i/u/300x300/4b270d511f87425384bf5c21d7d0d6b3.jpg,Been Filled
Record,How Green is the Valley,The Men They Couldn't Hang,1986,"Alternative Rock, Punk, Folk",UK,"The Pogues, Billy Bragg, The Waterboys, The Decemberists, Neutral Milk Hotel",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/5f/39/4d/mzi.mxmcdbff.jpg/600x600bb.jpg,Been Filled
Record,The Slow Crack,Steve Kilbey,1989,Alternative Rock,Australia,"Nick Cave & The Bad Seeds, Tindersticks, Leonard Cohen, The Church, Echo & the Bunnymen",A1,https://lastfm.freetls.fastly.net/i/u/300x300/1c40bd293e3d0638c7c0a001bd311d1d.jpg,Been Filled
Record,Kansas,Wolfgang Press,1989,"Post-Punk, Leftfield",UK,"Bauhaus, The Cure, Gang of Four, Protomartyr, Interpol",A1,https://i.discogs.com/ZTfeeEE29rOngjhJyFSkm6V2tV2dwRXV3526UmH146Q/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQyMjQ5/Mi0xNTk4NjM2MTM4/LTE0MTIuanBlZw.jpeg,Been Filled
Record,1234,Ronnie Wood,1992,Rock,Europe,"The Rolling Stones, Tom Petty, The Faces, The Black Crowes, Drive-By Truckers",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/47/38/31/mzi.upzcuctz.jpg/600x600bb.jpg,Been Filled
Record,Wooden Foot Cops on the Highway,The Woodentops,1988,Alternative Rock,US,"The Go-Betweens, The Feelies, The Chills, The Clean, Teenage Fanclub",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/84/92/ec/mzi.mhammksm.tif/600x600bb.jpg,Been Filled
Record,Electric Bird Digest,Young Fresh Fellows,1991,"Alternative Rock, Garage Rock, Indie Rock",US,"Guided by Voices, Pavement, The Replacements, Superchunk, Sebadoh",A1,https://lastfm.freetls.fastly.net/i/u/300x300/5d636c66d5e4bebc40ac3cd68685dace.jpg,Been Filled
Record,Bumper Crop,Pell Mell,1987,Art Rock,US,"Talking Heads, Television, Wire, DEVO, Parquet Courts",A1,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/6d/46/c8/6d46c86b-c7c6-d299-2ab7-5062331b83f4/889845202417.jpg/600x600bb.jpg,Been Filled
Record,Rhyming Guitars,Pell Mell,1990,Indie Rock,US,"Talking Heads, Television, Wire, DEVO, Parquet Courts",A1,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/79/1b/01/791b01aa-4cb3-7421-65d5-db76a27d8231/889845202431.jpg/600x600bb.jpg,Been Filled
Record,High Octane Revival,Scruffy the Cat,1986,Indie Rock,US,"The Replacements, The dB’s, Let’s Active, The Smithereens, Tommy Keene",A1,https://lastfm.freetls.fastly.net/i/u/300x300/053cd123e1aa97ae23673d7dc5e164ac.jpg,Been Filled
Record,On the Road Again,Roy Wood,2007,"Rock & Roll, Pop Rock, Country Rock",US,"The Band, Little Feat, The Flying Burrito Brothers, The New Riders of the Purple Sage, Poco",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/5a/bf/67/mzi.mcatxakb.jpg/600x600bb.jpg,Been Filled
Record,Soundtrax,Big River,2018,"Soundtrack, Gospel, Rhythm & Blues",US,"Prince And The Revolution, Various, Bob Dylan, USA For Africa, Paul Simon",A1,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/9f/fd/f2/9ffdf26f-c415-9991-3739-834404ca5f43/00076732614723.rgb.jpg/600x600bb.jpg,Been Filled
Record,Happy Come Home,Victoria Williams,1997,Country Rock,US,"Lucinda Williams, Gillian Welch, Iris DeMent, Shawn Colvin, Mary Chapin Carpenter",A1,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/b6/12/59/b6125955-9353-fc2f-13d3-980d6b06a454/00720642414026.rgb.jpg/600x600bb.jpg,Been Filled
Record,And the Shot Steady Nerves,Graham Parker,1985,Alternative Rock,US,"Elvis Costello, Joe Jackson, Squeeze, The Jam, XTC",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/05/2a/aa/mzi.xfiigrnc.jpg/600x600bb.jpg,Been Filled
Record,Mainstream,Lloyd Cole and the Commotions,1987,"Alternative Rock, Indie Rock",UK,"The Go-Betweens, Prefab Sprout, The Blue Nile, Felt, The Triffids",A1,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/bd/18/19/bd1819be-d4e5-4d02-2b34-75a574b69614/05099922912053.jpg/600x600bb.jpg,Been Filled
Record,Same,Lloyd Cole,1984,Pop Rock,UK,"The Smiths, The Go-Betweens, Prefab Sprout, Aztec Camera, The Triffids",A1,https://i.discogs.com/yYrIa1lOHEIVUf02KkNdZL_PEY-43SHSLfnxcgFGVzk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyOTgx/OTktMTYxNDc4ODY4/Ni03NzEyLmpwZWc.jpeg,Been Filled
Record,Rattlesnakes,Lloyd Cole and the Commotions,2004,"Soft Rock, Indie Rock",UK,"The Smiths, The Go-Betweens, Prefab Sprout, Aztec Camera, The Triffids",A1,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/aa/2d/74/aa2d74eb-dd26-250b-bd80-25d6e2f1ae72/00602557466812.rgb.jpg/600x600bb.jpg,Been Filled
Record,Free for All,Ted Nugent,2015,Hard Rock,US,"Aerosmith, Blue Öyster Cult, Thin Lizzy, UFO, Montrose",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/dc/7a/8e/mzi.dqjjnacx.jpg/600x600bb.jpg,Been Filled
Record,Duke Robillard And The Pleasure Kings,Duke Robillard And The Pleasure Kings,1983,Electric Blues,US,"Stevie Ray Vaughan, Rory Gallagher, Robin Trower, Albert King, Buddy Guy",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/y2003/m09/d13/h05/s03.mopbxupb.jpg/600x600bb.jpg,Been Filled
Record,Stick to Me,Graham Parker and the Rumour,1977,New Wave,Spain,"Elvis Costello, Nick Lowe, Dr. Feelgood, The Rumour, Brinsley Schwarz",A1,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/47/61/7e/47617eb6-03ff-9266-5284-45d299f05418/18UMGIM40823.rgb.jpg/600x600bb.jpg,Been Filled
Record,Heat Treatment,Graham Parker,1976,"Pub Rock, New Wave",UK,"Elvis Costello, Nick Lowe, Dr. Feelgood, The Rumour, Brinsley Schwarz",A1,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/ac/da/83/acda83e1-fefe-3c02-9db7-58903df377fe/00602537055487.rgb.jpg/600x600bb.jpg,Been Filled
Record,Howlin' Wind,Graham Parker,1976,"New Wave, Pub Rock",UK,"Elvis Costello, Nick Lowe, Dr. Feelgood, The Rumour, Brinsley Schwarz",A1,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/69/84/ca/6984ca8d-185d-648e-588f-b6ec6350d934/00602517582736.rgb.jpg/600x600bb.jpg,Been Filled
Record,The Up Escalator,Graham Parker,1990,"Pub Rock, New Wave, Rock & Roll",US,"Elvis Costello, Joe Jackson, Squeeze, The Jam, XTC",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/8a/ad/a7/mzi.qznyjfpo.jpg/600x600bb.jpg,Been Filled
Record,Giant,Woodentops,1986,Indie Rock,UK,"The Go-Betweens, The Feelies, The Chills, The Clean, Teenage Fanclub",A1,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/bc/83/25/bc8325cd-4798-1b55-f4d3-a4dfe9b3c836/5013929119024.png/600x600bb.jpg,Been Filled
Record,Gimme Some Neck,Ron Wood,2014,"Blues Rock, Classic Rock",US,"The Rolling Stones, Tom Petty, The Faces, The Black Crowes, Drive-By Truckers",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/22/3a/ca/mzi.ugtkaobo.jpg/600x600bb.jpg,Been Filled
Record,Celtic Symphony,Alan Stivell,1987,"Folk Rock, Celtic",US,"Enya, Clannad, Loreena McKennitt, The Corrs, Flook",A1,https://i.discogs.com/NKQWBz1zNnADxKpzcUz4aUUhmR0Tlg8nj8vCeXFoAEk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0ODU0/MTQtMTMzMjI1MzE1/Mi5qcGVn.jpeg,Been Filled
Record,The Confessional,Winter Hours,1986,Alternative Rock,US,"The Replacements, Hüsker Dü, The Dream Syndicate, Game Theory, The Smithereens",A1,https://lastfm.freetls.fastly.net/i/u/300x300/0151376860fe4a3a8827462c2a4b194c.jpg,Been Filled
Record,Shock Treatment,Edgar Winter Group,1974,Hard Rock,US,"Aerosmith, Blue Öyster Cult, Thin Lizzy, UFO, Montrose",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/94/dc/4d/mzi.hlfnzzpi.jpg/600x600bb.jpg,Been Filled
Record,I'll be Back,Windbreakers,1986,Alternative Rock,US,"R.E.M., The dB’s, Let’s Active, Tommy Keene, The Smithereens",A1,https://lastfm.freetls.fastly.net/i/u/300x300/3112676effe5230d531ad4d3d357eb6d.jpg,Been Filled
Record,Plenty,Woodentops,1984,"Pop Rock, Indie Rock",UK,"The Go-Betweens, The Feelies, The Chills, The Clean, Teenage Fanclub",A1,https://i.discogs.com/eZhpxXV2khdaYKjqaEwm8AOzc7Z900RNXJjElydandE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMDk5/NS0xMzAzODUzMzgz/LmpwZWc.jpeg,Been Filled
Record,Love Train,Woodentops,1989,Indie Rock,Germany,"The Go-Betweens, The Feelies, The Chills, The Clean, Teenage Fanclub",A1,https://i.discogs.com/EC_xAv4QREmziK3WhYSDwPuR63u3Nch2wugmw9z-UGU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3NDIz/MjQtMTI3MjI4Mjk3/OS5qcGVn.jpeg,Been Filled
Record,It Will Come,Woodentops,1985,Indie Rock,UK,"The Go-Betweens, The Feelies, The Chills, The Clean, Teenage Fanclub",A1,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/43/a4/14/43a414fc-9426-44ad-fc33-3ca83bd0eb23/5016958078904.png/600x600bb.jpg,Been Filled
Record,Three-Chord Monte,Pegboy,1990,"Post-Hardcore, Punk",US,"Jawbreaker, Hot Water Music, Samiam, Leatherface, Avail",A1,https://is1-ssl.mzstatic.com/image/thumb/Music18/v4/2d/75/c6/2d75c68c-0e61-c5ad-c9eb-58eef15f9922/cover.jpg/600x600bb.jpg,Been Filled
Record,Pearls Galore,Pearl Harbour,1993,"Alternative Rock, New Wave, Punk, Indie Rock",UK,"The Undertones, Buzzcocks, Ian Dury, The Rezillos, The Adverts",A1,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/ca/b9/d4/cab9d4ec-b4b1-5601-1952-5e6b8aec0e80/00030206704198.rgb.jpg/600x600bb.jpg,Been Filled
Record,The Use of Ashes,Pearls Before Swine,1970,"Folk Rock, Psychedelic Rock",US,"Fairport Convention, Nick Drake, Vashti Bunyan, Devendra Banhart, Joanna Newsom",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/23/9c/ab/mzi.lbhdupbl.jpg/600x600bb.jpg,Been Filled
Record,Greatest Hits II,Johnny Paycheck,1979,Country Rock,US,"Merle Haggard, George Jones, Waylon Jennings, Willie Nelson, David Allan Coe",A1,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/6b/92/53/6b9253d7-f2cf-72ff-ccd9-cecf609fb512/760137201724.png/600x600bb.jpg,Been Filled
Record,Singing in Circles,Passion Flower Hotel,2000,"Alternative Rock, Garage Rock, Psychedelic Rock",UK,"The Chameleons, The Sound, Comsat Angels, The Church, Sad Lovers & Giants",A1,https://i.discogs.com/ISEv9F0wlJXBhDXd-_5-L_7afQx_QP0I_Yu_xLSZrf8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1ODgy/NTItMTI1Mjc4MjM5/My5qcGVn.jpeg,Been Filled
Record,Guitar Slinger,Johnny Winter,1984,"Electric Blues, Blues Rock",US,"Stevie Ray Vaughan, Rory Gallagher, Robin Trower, Albert King, Buddy Guy",A1,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/04/35/60/04356063-86e1-25d4-9e5e-6a701d5b2d19/345.jpg/600x600bb.jpg,Been Filled
Record,Songs from The Briarpatch,Tom Paxton,1977,"Folk, Folk Rock, Country",US,"John Prine, Guy Clark, Townes Van Zandt, Jim Croce, James Taylor",A1,https://i.discogs.com/xg_nDSQtu6AIxc4llTtAYhEEenIrhntdsxe-r3c-Jzg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5NTI4/MzgtMTM1MDMzMzAw/NS0zMjk0LmpwZWc.jpeg,Been Filled
Record,Pampered Menial,Pavlov's Dog,2010,"Art Rock, Prog Rock",Europe,"Van der Graaf Generator, Camel, Caravan, Nektar, Renaissance",A1,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a9/67/80/a9678028-6124-00d7-43e1-dd2951914b83/196873542638.jpg/600x600bb.jpg,Been Filled
Record,Grey Ghost,Henry Paul Band,1979,Southern Rock,US,"The Outlaws, The Charlie Daniels Band, The Marshall Tucker Band, Wet Willie, Grinderswitch",A1,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/45/48/62/45486217-a80d-8cbc-1947-3af838e0bdd1/mzi.iedxaseb.jpg/600x600bb.jpg,Been Filled
Record,Feel the Heat,Henry Paul Band,2003,"Rock & Roll, Southern Rock",US,"The Outlaws, The Charlie Daniels Band, The Marshall Tucker Band, Wet Willie, Grinderswitch",A1,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/0a/f4/2b/0af42b67-5f66-004e-ef08-85b57215221d/mzi.zpvtrfyx.jpg/600x600bb.jpg,Been Filled
Record,Grey Ghost,Henry Paul,1979,Southern Rock,US,"The Outlaws, The Charlie Daniels Band, The Marshall Tucker Band, Wet Willie, Grinderswitch",A1,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/45/48/62/45486217-a80d-8cbc-1947-3af838e0bdd1/mzi.iedxaseb.jpg/600x600bb.jpg,Been Filled
Record,Entrance,Edgar Winter,1992,"Symphonic Rock, Blues Rock, Jazz-Rock",US,"Electric Light Orchestra, ELO*, Jack White (2), The Doors, Steely Dan",A1,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/04/38/bf/0438bf78-e734-0b38-9719-3d759609e798/196871028974.jpg/600x600bb.jpg,Been Filled
Record,Together,Edgar Winter & Johnny Winter,1994,Blues Rock,US,"Stevie Ray Vaughan, Rory Gallagher, Robin Trower, Albert King, Buddy Guy",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/60/24/19/mzi.mspxvsxl.jpg/600x600bb.jpg,Been Filled
Record,Winter,Johnny Winter,1984,Blues Rock,US,"Stevie Ray Vaughan, Rory Gallagher, Robin Trower, Albert King, Buddy Guy",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/0a/19/08/mzi.omieqbeh.jpg/600x600bb.jpg,Been Filled
Record,White Trash,Edgar Winter,1989,Blues Rock,US,"The Allman Brothers Band, Lynyrd Skynyrd, The Marshall Tucker Band, Wet Willie, Grinderswitch",A1,https://is1-ssl.mzstatic.com/image/thumb/Music/51/9b/81/mzi.sbtrwvim.jpg/600x600bb.jpg,Been Filled
Record,Leaving Time,Winter Hours,1986,"Alternative Rock, Indie Rock",US,"The Replacements, Hüsker Dü, The Dream Syndicate, Game Theory, The Smithereens",A1,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/cb/ca/b6/cbcab638-40e4-8418-5afe-245af07027e1/791287360429.jpg/600x600bb.jpg,Been Filled
Record,Strong Reaction,Pegboy,1991,Punk,US,"Fugazi, Jawbox, Quicksand, Drive Like Jehu, Hot Snakes",A1,https://is1-ssl.mzstatic.com/image/thumb/Music30/v4/60/87/c4/6087c49b-ab0c-5dff-c103-7da09d426989/cover.jpg/600x600bb.jpg,Been Filled
Record,Split,Victor Banana,1969,Novelty,US,"USA For Africa, Zappa*",A1,https://lastfm.freetls.fastly.net/i/u/300x300/7045997a9fe2c14903a33347d0d4b087.jpg,Been Filled
